,Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
3349,Low Fat,FDV45,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.078872251,12.857645184135977,189.5556,4.0
3350,Regular,FDX48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.066336811,12.857645184135977,154.1656,4.0
3351,Low Fat,FDU39,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036037952,18.85,58.4562,4.0
3352,Low Fat,DRD49,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.167831064,9.895,237.4564,4.0
3353,Low Fat,FDC48,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.015859294,9.195,84.5592,4.0
3354,Low Fat,FDW59,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020715913,13.15,83.5566,4.0
3355,Low Fat,FDN13,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.152058281,18.6,99.9358,4.0
3356,Low Fat,FDT13,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018571641,14.85,187.3214,4.0
3357,Low Fat,FDA49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.064921764,19.7,88.1198,4.0
3358,Low Fat,FDC02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.068822477,21.35,258.3278,4.0
3359,Low Fat,FDK51,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.005235143,19.85,265.8884,4.0
3360,Low Fat,FDK40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.021849398,7.035,262.091,4.0
3361,Low Fat,FDC53,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.008835694,8.68,96.5384,4.0
3362,Low Fat,FDI28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.026321701,14.3,77.6302,4.0
3363,Low Fat,FDJ04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.124452048,18.0,118.5124,4.0
3364,Low Fat,FDD16,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036353098,20.5,75.8696,4.0
3365,Low Fat,FDP32,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.087669485,6.65,127.2678,4.0
3366,Low Fat,DRM11,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.066069578,6.57,261.0278,4.0
3367,Low Fat,DRO35,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.034570357,13.85,117.4492,4.0
3368,Low Fat,NCX29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.089152528,10.0,147.7102,4.0
3369,Low Fat,NCZ17,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079431643,12.15,38.6506,4.0
3370,Low Fat,NCJ05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.046088273,18.7,153.6682,4.0
3371,Low Fat,NCV17,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.016107549,18.85,129.7626,4.0
3372,Low Fat,NCA29,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02727641,10.5,171.3106,4.0
3373,Low Fat,NCX18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,14.15,196.311,4.0
3374,Low Fat,NCZ54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.083359391,14.65,161.9552,4.0
3375,Low Fat,NCD18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,16.0,228.8668,4.0
3376,Low Fat,NCF54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.047377053,18.0,171.1422,4.0
3377,Low Fat,NCC18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.177270016,19.1,174.0422,4.0
3378,Low Fat,NCZ06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.094161662,19.6,251.9698,4.0
3379,Low Fat,NCE42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010602292,21.1,235.3958,4.0
3380,Low Fat,FDQ39,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.081042136,14.8,192.4846,4.0
3381,Low Fat,NCM55,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.066726133,15.6,185.8924,4.0
3382,Low Fat,FDI22,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.096212432,12.6,207.2612,4.0
3383,Low Fat,FDA21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03596071,13.65,186.3924,4.0
3384,Low Fat,FDP46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,15.35,88.283,4.0
3385,Low Fat,FDL34,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.040945898,16.0,143.1496,4.0
3386,Low Fat,FDS10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035185588,19.2,181.3318,4.0
3387,Low Fat,FDQ21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019423232,21.25,120.8756,4.0
3388,Low Fat,DRE48,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01732573,8.43,197.9768,4.0
3389,Low Fat,DRC49,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.065436581,8.67,142.9128,4.0
3390,Low Fat,DRK13,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.115167579,11.8,199.8084,4.0
3391,Low Fat,DRE25,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073283193,15.35,91.812,4.0
3392,Low Fat,DRG37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019378432,16.2,156.4972,4.0
3393,Low Fat,FDG59,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.043234574,15.85,38.3164,4.0
3394,Regular,FDI60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03832122,7.22,61.851,4.0
3395,Regular,FDY60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,10.5,143.3128,4.0
3396,Regular,FDK60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,16.5,96.2068,4.0
3397,Regular,FDM38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.092771309,5.885,54.1982,4.0
3398,Regular,FDR25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.139521931,17.0,266.8884,4.0
3399,Regular,FDH14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.046808553,17.1,141.4838,4.0
3400,Regular,FDW26,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.107057186,11.8,224.1772,4.0
3401,Regular,FDK03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.073920438,12.6,255.6356,4.0
3402,Regular,FDH17,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01665334,16.2,97.3726,4.0
3403,Regular,FDK08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.122304725,9.195,99.2016,4.0
3404,Regular,FDW44,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.035151215,9.5,171.8448,4.0
3405,Regular,FDD21,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030569229,10.3,113.1176,4.0
3406,Regular,FDY20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08175276,12.5,89.0488,4.0
3407,Regular,FDT55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.043655155,13.6,156.7946,4.0
3408,Regular,FDP08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.112410046,20.5,192.2478,4.0
3409,Regular,FDI07,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.033760862,12.35,196.9426,4.0
3410,Regular,FDZ39,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018024769,19.7,104.499,4.0
3411,Regular,FDI09,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.129337594,20.75,238.188,4.0
3412,Regular,FDI58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.070704474,7.64,93.412,4.0
3413,Regular,FDX46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.058116758,12.3,57.5562,4.0
3414,Regular,FDL21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.007146415,15.85,41.048,4.0
3415,Regular,FDS22,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.023154399,16.85,43.9428,4.0
3416,Regular,DRC01,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019201403,5.92,47.7692,4.0
3417,Regular,FDE23,Starchy Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,17.6,46.006,4.0
3418,Low Fat,FDN09,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0,14.15,244.1828,4.0
3419,Low Fat,FDA15,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.016113019,9.3,248.8092,4.0
3420,Low Fat,FDY36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.009429612,12.3,71.338,4.0
3421,Low Fat,FDH48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.060603014,13.5,85.554,4.0
3422,Low Fat,FDG50,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.015302764,7.405,89.9146,4.0
3423,Low Fat,FDS14,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.050065211,7.285,157.4288,4.0
3424,Low Fat,DRE27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.132939639,11.85,98.0726,4.0
3425,Low Fat,DRJ39,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.036399734,20.25,219.3482,4.0
3426,Low Fat,FDF09,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.012173543,6.215,36.4848,4.0
3427,Low Fat,FDJ08,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.11089655,11.1,191.5846,4.0
3428,Low Fat,FDS43,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.040597054,11.65,187.324,4.0
3429,Low Fat,FDO44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.087630566,12.6,110.0228,4.0
3430,Low Fat,FDE21,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02299122,12.8,114.9492,4.0
3431,Low Fat,FDT31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.01247354,19.75,187.5872,4.0
3432,Low Fat,DRN47,Hard Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,12.1,179.866,4.0
3433,Low Fat,NCS05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.021020616,11.5,130.7942,4.0
3434,Low Fat,NCT41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05610384,15.7,153.5024,4.0
3435,Low Fat,NCF43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.052051256,8.51,142.247,4.0
3436,Low Fat,NCK18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,9.6,164.2184,4.0
3437,Low Fat,NCX18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.008811818,14.15,196.511,4.0
3438,Low Fat,NCL06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.072212787,14.65,260.9594,4.0
3439,Low Fat,NCE30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,16.0,210.4902,4.0
3440,Low Fat,FDU39,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.036111038,18.85,58.1562,4.0
3441,Low Fat,NCN55,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.059611153,14.6,238.3538,4.0
3442,Low Fat,FDH09,Seafood,2015,OUT045,Tier 2,Small,Supermarket Type1,0.056191301,12.6,53.2982,4.0
3443,Low Fat,FDR33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026843265,7.31,109.757,4.0
3444,Low Fat,FDD34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.015908485,7.945,161.421,4.0
3445,Low Fat,FDL10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.039572298,8.395,100.9042,4.0
3446,Low Fat,FDA57,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.039723999,18.85,41.048,4.0
3447,Low Fat,FDA45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.155694794,21.25,177.637,4.0
3448,Low Fat,DRF25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.039004193,9.0,37.019,4.0
3449,Low Fat,DRJ24,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.113559058,11.8,184.2924,4.0
3450,Low Fat,DRN36,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.050279604,15.2,94.1752,4.0
3451,Low Fat,FDY36,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.009463757,12.3,73.838,4.0
3452,Low Fat,FDZ48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.076389281,17.75,111.1544,4.0
3453,Low Fat,FDW59,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,0.020833091,13.15,86.5566,4.0
3454,Low Fat,FDU13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.188619537,8.355,146.4418,4.0
3455,Low Fat,FDX25,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.102633047,16.7,180.8292,4.0
3456,Low Fat,FDY50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.13169655,5.8,89.4172,4.0
3457,Low Fat,FDA50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.087668236,16.25,94.941,4.0
3458,Low Fat,FDS50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.055746931,17.0,220.0114,4.0
3459,Low Fat,DRI51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.042480566,17.25,173.4764,4.0
3460,Low Fat,FDR26,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04307908,20.7,177.8028,4.0
3461,Low Fat,FDF17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.042861968,5.19,196.811,4.0
3462,Low Fat,FDD08,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03555434,8.3,37.4506,4.0
3463,Low Fat,FDY07,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.122289654,11.8,46.3402,4.0
3464,Low Fat,FDS07,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.100322104,12.35,113.7518,4.0
3465,Low Fat,FDM44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.031225303,12.5,102.899,4.0
3466,Low Fat,DRN11,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.163902159,7.85,143.3444,4.0
3467,Low Fat,DRJ11,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,9.5,188.9872,4.0
3468,Low Fat,DRJ35,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.046848053,10.1,60.6878,4.0
3469,Low Fat,NCZ41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.06478563,19.85,123.7704,4.0
3470,Low Fat,NCU30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.035071955,5.11,163.221,4.0
3471,Low Fat,NCF07,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.032203667,9.0,100.8016,4.0
3472,Low Fat,NCQ06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0420611,13.0,254.1014,4.0
3473,Low Fat,NCO18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.024790707,13.15,177.5686,4.0
3474,Low Fat,NCQ18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.135836828,15.75,100.37,4.0
3475,Low Fat,NCF54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.047645037,18.0,172.6422,4.0
3476,Low Fat,NCL18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.168531813,18.85,192.5136,4.0
3477,Low Fat,NCZ06,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.094694278,19.6,254.9698,4.0
3478,Low Fat,FDQ46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.104400238,7.51,113.5544,4.0
3479,Low Fat,FDW33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.099681254,9.395,106.428,4.0
3480,Low Fat,FDR45,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.029107004,10.8,240.5222,4.0
3481,Low Fat,FDW45,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.039231652,18.0,145.1418,4.0
3482,Low Fat,DRJ49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.014072399,6.865,127.3652,4.0
3483,Low Fat,DRZ24,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.082250143,7.535,118.344,4.0
3484,Low Fat,DRK01,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.061409711,7.63,94.6436,4.0
3485,Low Fat,DRD49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.168780385,9.895,236.8564,4.0
3486,Low Fat,DRK49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.036147029,14.15,39.3138,4.0
3487,Low Fat,FDD11,Starchy Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.030789914,12.85,254.904,4.0
3488,Regular,FDW60,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.017096552,5.44,178.137,4.0
3489,Regular,FDB36,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.048625599,5.465,129.2626,4.0
3490,Regular,FDI60,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.038398937,7.22,61.951,4.0
3491,Regular,FDP12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.045358609,9.8,36.1874,4.0
3492,Regular,FDT47,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.02455854,5.26,95.6068,4.0
3493,Regular,FDU47,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.114085368,12.8,141.3838,4.0
3494,Regular,FDP49,Breakfast,2015,OUT045,Tier 2,High,Supermarket Type1,0.069229076,9.0,55.9614,4.0
3495,Regular,FDR01,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.053730029,5.405,199.0742,4.0
3496,Regular,FDQ01,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.16102755,19.7,254.1014,4.0
3497,Regular,FDC51,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.009641375,10.895,124.173,4.0
3498,Regular,FDK03,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.074070351,12.6,254.2356,4.0
3499,Regular,FDF39,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.019550858,14.85,263.791,4.0
3500,Regular,FDE40,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.099344826,15.6,63.6194,4.0
3501,Regular,FDA27,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.030990354,20.35,256.3672,4.0
3502,Regular,FDV44,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.039925235,8.365,189.2188,4.0
3503,Regular,FDC33,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.069078149,8.96,197.7768,4.0
3504,Regular,FDX07,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.022965292,19.2,181.695,4.0
3505,Regular,FDS15,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.07821891,9.195,107.6596,4.0
3506,Regular,FDM15,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.057538034,11.8,149.8366,4.0
3507,Regular,FDI09,Seafood,2015,OUT045,Tier 2,High,Supermarket Type1,0.0,20.75,239.988,4.0
3508,Regular,FDJ10,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.129766301,5.095,141.6838,4.0
3509,Regular,FDS09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.08125293,8.895,49.8008,4.0
3510,Regular,FDY33,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.097398254,14.5,157.4262,4.0
3511,Regular,FDR22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.018600249,19.35,110.2544,4.0
3512,Regular,FDT12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.049902382,6.215,225.8062,4.0
3513,Regular,FDP12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.045522854,9.8,35.0874,4.0
3514,Regular,FDQ48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.034605882,14.3,95.9726,4.0
3515,Regular,FDR24,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.063207198,17.35,89.383,4.0
3516,Regular,FDX47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.034800079,6.55,157.5288,4.0
3517,Regular,FDM25,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,0.061008889,10.695,177.5712,4.0
3518,Regular,FDS25,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.1408005,6.885,111.4228,4.0
3519,Regular,FDJ02,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.025309134,17.2,147.0418,4.0
3520,Regular,FDZ02,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.038363204,6.905,98.1726,4.0
3521,Regular,FDI27,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.0,8.71,43.5744,4.0
3522,Regular,FDS02,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.146692433,10.195,194.5794,4.0
3523,Regular,FDJ15,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.023454399,11.35,181.9608,4.0
3524,Regular,FDA27,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0.031102571,20.35,257.2672,4.0
3525,Regular,FDT52,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.047697859,9.695,244.6144,4.0
3526,Regular,FDS16,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.066551268,15.15,144.676,4.0
3527,Regular,FDH17,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.016747538,16.2,98.6726,4.0
3528,Regular,FDY04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.042716709,17.7,163.221,4.0
3529,Regular,FDS56,Fruits and Vegetables,2020,OUT017,Tier 2,High,Supermarket Type1,0.038976089,5.785,264.2252,4.0
3530,Regular,FDD44,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.07884393,8.05,257.0646,4.0
3531,Regular,FDQ51,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0,16.0,48.1718,4.0
3532,Regular,FDL03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.027233781,19.25,197.511,4.0
3533,Regular,FDG33,Seafood,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.141033536,5.365,173.6764,4.0
3534,Regular,FDE10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.090456903,6.67,131.2626,4.0
3535,Regular,FDS33,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.124126756,6.67,88.9514,4.0
3536,Regular,FDJ34,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.094185483,11.8,126.2704,4.0
3537,Regular,FDP45,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03079807,15.7,252.9724,4.0
3538,Regular,FDM58,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.080141165,16.85,111.4544,4.0
3539,Regular,FDN22,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.139087683,18.85,251.7724,4.0
3540,Regular,DRC01,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.019308607,5.92,49.0692,4.0
3541,Regular,DRZ11,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.113302223,8.85,125.1388,4.0
3542,Regular,FDF11,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.017730951,10.195,239.8538,4.0
3543,Regular,FDE23,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.053481818,17.6,47.806,4.0
3544,Low Fat,NCZ18,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.186445212,7.825,255.5698,4.0
3545,Regular,FDI04,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.073060301,13.65,196.2426,4.0
3546,Regular,FDR44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.103129612,6.11,129.5968,4.0
3547,Regular,FDF45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.012229464,18.2,56.8904,4.0
3548,Regular,FDO22,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.017895691,13.5,79.496,4.0
3549,Low Fat,NCH18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.044652785,9.3,247.0802,4.0
3550,Low Fat,FDG24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.014628382,7.975,82.325,4.0
3551,Low Fat,FDQ12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.035404052,12.65,230.601,4.0
3552,Low Fat,FDS47,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.128861359,16.75,86.2856,4.0
3553,Low Fat,FDW13,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.097866209,8.5,51.1324,4.0
3554,Low Fat,FDK02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.112203445,12.5,121.144,4.0
3555,Low Fat,FDJ04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.124428516,18.0,119.9124,4.0
3556,Low Fat,FDQ16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.041730507,19.7,109.2912,4.0
3557,Low Fat,FDX43,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.085258864,5.655,165.85,4.0
3558,Low Fat,FDV32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.088691614,7.785,61.851,4.0
3559,Low Fat,FDK56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0,9.695,185.1898,4.0
3560,Low Fat,FDE44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.171355643,14.65,47.6692,4.0
3561,Low Fat,FDY55,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.081304829,16.75,258.4988,4.0
3562,Low Fat,FDL44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.012272797,18.25,160.2894,4.0
3563,Low Fat,NCS29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06953231,9.0,266.5884,4.0
